Timestamp,What was your undergraduate major?,What type of phone do you have?,How many years ago did you receive your undergraduate degree?,How many hours do you sleep in a typical night?,Rate your proficiency with git/github,Rate your proficiency with Python,Have you ever used SQL?,What is your favorite sport to watch on tv?,What is your ideal outdoor temperature (in Fahrenheit)?,How many US states have you visited?,What is your favorite season?
8/25/2026 8:20:43,Psychology,iPhone,4-6 Years,8.0,3,2,Yes,F1 Motorsport,70.0,8.0,Fall
8/25/2026 9:35:51,Statistics,iPhone,1-3 Years,8.0,3,4,Yes,,70.0,16.0,Fall
8/25/2026 13:43:23,Economics-Business And Applied Mathematics,iPhone,< 1 Year,8.0,3,3,No,Baseball,70.0,27.0,Fall
8/25/2026 15:11:38,Data Science (Concentration In Computer Science),iPhone,< 1 Year,8.0,3,4,Yes,Football,73.0,9.0,Fall
8/25/2026 15:26:11,Math And Physics,iPhone,1-3 Years,8.0,2,4,Yes,Figure Skating,73.0,26.0,Fall
8/25/2026 20:43:55,Analytics,iPhone,< 1 Year,7.0,1,3,Yes,Baseball,70.0,21.0,Spring
8/26/2026 10:10:40,Statistics,iPhone,< 1 Year,7.0,4,4,Yes,Basketball,73.0,35.0,Summer
8/26/2026 10:11:02,Statistics And Media Studies,iPhone,< 1 Year,6.0,2,3,No,,55.0,20.0,Winter
8/26/2026 10:11:07,Computer Science,iPhone,< 1 Year,9.0,5,4,Yes,Football,64.0,16.0,Fall
8/26/2026 10:11:18,Economics,iPhone,< 1 Year,5.0,4,3,Yes,College Basketball,70.0,7.0,Summer
8/26/2026 10:11:20,Commerce,iPhone,< 1 Year,8.0,1,2,Yes,College Football,70.0,13.0,Spring
8/26/2026 10:11:25,Economics,iPhone,< 1 Year,8.0,2,2,No,Basketball,75.0,6.0,Fall
8/26/2026 10:11:27,Computer Science,iPhone,< 1 Year,5.0,3,3,Yes,Basketball,68.0,3.0,Winter
8/26/2026 10:11:35,Computer Science,iPhone,< 1 Year,8.0,4,4,Yes,Basketball,70.0,25.0,Summer
8/26/2026 10:11:38,Computer Science,iPhone,1-3 Years,8.0,3,3,Yes,Soccer,65.0,4.0,Spring
8/26/2026 10:11:47,Biology,Android,< 1 Year,6.0,3,3,Yes,Football,70.0,8.0,Fall
8/26/2026 10:11:50,Astrophysics,iPhone,< 1 Year,7.0,3,4,Yes,Soccer,78.0,10.0,Spring
8/26/2026 10:11:51,Economics,iPhone,4-6 Years,8.0,3,4,Yes,Soccer,80.0,15.0,Spring
